property_id,listing_id,suburb,state,country,price,estimated_deposit_5_percent,estimated_deposit_10_percent,estimated_deposit_20_percent,estimated_stamp_duty_placeholder,property_type,bedrooms,bathrooms,parking,land_size_sqm,internal_size_sqm,year_built,property_age_years,strata_fees_per_quarter,council_rates_per_quarter,water_rates_per_quarter,listing_date,days_on_market,market_condition,inspection_interest_level,estimated_weekly_rent,estimated_rental_yield_percent,capital_growth_score,lifestyle_match_score,investment_quality_score,relative_affordability_score,nearest_train_or_metro_minutes,estimated_cbd_commute_minutes,nearest_school_distance_km,nearest_park_distance_km,nearest_shopping_distance_km,neighborhood_energy,home_personality,ideal_buyer_archetype,lifestyle_supported,desired_home_feeling,family_life_fit,remote_work_fit,social_living_fit,long_term_lifestyle_fit,maintenance_level,renovation_need,pet_friendliness,natural_light_quality,noise_level,privacy_level,storage_quality,outdoor_space_quality,work_from_home_suitability,hosting_suitability,buyer_identity_alignment,morning_lifestyle_experience,evening_lifestyle_experience,match_summary,risk_notes,full_property_profile_text
11,OCC-10011,Lane Cove,NSW,Australia,1420562,71028,142056,284112,56822,House,5,2,2,699,213,2014,12,0,642,213,2026-03-28,50,price adjusted,moderate,1344,4.92,56,71,76,85,7,35,3.9,2.9,3.3,waterside and lifestyle-focused,Grounded family home,Grounded family home,"stable family routines, school proximity, calm weekends, long-term belonging","safe, warm, settled, protective",Low,Strong,Low,Strong,Low,Cosmetic,Moderate,Strong,Moderate,Moderate,Limited,None,Excellent,Moderate,"Best suited to someone who sees home as a base for stable family routines, school proximity, calm weekends, long-term belonging.","Mornings feel safe, warm, settled, protective, supported by the suburb's waterside and lifestyle-focused rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a grounded family home in Lane Cove.,Buyer should consider maintenance costs and long-term suitability.,"Property 11 is a house in Lane Cove designed around the lifestyle archetype: Grounded family home.
    It is listed at $1,420,562 and has been on the market for 50 days.
    The property supports stable family routines, school proximity, calm weekends, long-term belonging. The emotional feel is safe, warm, settled, protective.
    The local area feels waterside and lifestyle-focused, with an estimated CBD commute of 35 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 213 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.92% and a growth score of 56/100."
12,OCC-10012,Baulkham Hills,NSW,Australia,1125585,56279,112558,225117,45023,House,4,3,1,745,221,1995,31,0,497,198,2026-02-15,91,price adjusted,low,662,3.06,82,82,75,62,6,36,1.0,2.9,1.2,urban and connected,Urban professional apartment,Urban professional apartment,"career-focused living, transport access, convenience, modern routines","efficient, polished, connected, energising",Very Strong,Moderate,Moderate,Strong,Moderate,None,High,Strong,High,Strong,Strong,None,Excellent,Strong,"Best suited to someone who sees home as a base for career-focused living, transport access, convenience, modern routines.","Mornings feel efficient, polished, connected, energising, supported by the suburb's urban and connected rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a urban professional apartment in Baulkham Hills.,Buyer should compare price against recent local sales.,"Property 12 is a house in Baulkham Hills designed around the lifestyle archetype: Urban professional apartment.
    It is listed at $1,125,585 and has been on the market for 91 days.
    The property supports career-focused living, transport access, convenience, modern routines. The emotional feel is efficient, polished, connected, energising.
    The local area feels urban and connected, with an estimated CBD commute of 36 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 3 bathrooms, 1 parking spaces, and approximately 221 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.06% and a growth score of 82/100."
13,OCC-10013,Campbelltown,NSW,Australia,1122027,56101,112203,224405,44881,Villa,3,1,2,223,179,2016,10,348,538,263,2026-03-20,58,longer campaign,moderate,762,3.53,68,87,92,73,8,59,2.7,1.3,3.4,practical and high-growth,Nature-oriented retreat,Nature-oriented retreat,"peace, green space, slower mornings, emotional decompression","calm, restorative, private, grounded",Very Strong,Very Strong,Moderate,Very Strong,Low,Moderate,High,Excellent,High,Very Strong,Moderate,None,Moderate,Strong,"Best suited to someone who sees home as a base for peace, green space, slower mornings, emotional decompression.","Mornings feel calm, restorative, private, grounded, supported by the suburb's practical and high-growth rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a nature-oriented retreat in Campbelltown.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 13 is a villa in Campbelltown designed around the lifestyle archetype: Nature-oriented retreat.
    It is listed at $1,122,027 and has been on the market for 58 days.
    The property supports peace, green space, slower mornings, emotional decompression. The emotional feel is calm, restorative, private, grounded.
    The local area feels practical and high-growth, with an estimated CBD commute of 59 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 1 bathrooms, 2 parking spaces, and approximately 179 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.53% and a growth score of 68/100."
14,OCC-10014,Waterloo,NSW,Australia,974511,48726,97451,194902,38980,Townhouse,2,3,2,126,105,2023,3,424,565,268,2026-03-15,63,new listing,moderate,635,3.39,55,66,82,49,23,56,1.1,2.1,2.1,green and peaceful,Luxury aspirational home,Luxury aspirational home,"status, comfort, privacy, premium lifestyle expression","elevated, spacious, impressive, refined",Low,Strong,Moderate,Strong,High,Moderate,Moderate,Excellent,High,Very Strong,Moderate,Large backyard,Strong,Moderate,"Best suited to someone who sees home as a base for status, comfort, privacy, premium lifestyle expression.","Mornings feel elevated, spacious, impressive, refined, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a luxury aspirational home in Waterloo.,Buyer should consider maintenance costs and long-term suitability.,"Property 14 is a townhouse in Waterloo designed around the lifestyle archetype: Luxury aspirational home.
    It is listed at $974,511 and has been on the market for 63 days.
    The property supports status, comfort, privacy, premium lifestyle expression. The emotional feel is elevated, spacious, impressive, refined.
    The local area feels green and peaceful, with an estimated CBD commute of 56 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 3 bathrooms, 2 parking spaces, and approximately 105 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.39% and a growth score of 55/100."
15,OCC-10015,Hurstville,NSW,Australia,1498499,74925,149850,299700,59940,House,5,3,1,676,220,2003,23,0,378,204,2026-02-21,85,new listing,very strong,1424,4.94,60,68,64,49,17,24,3.3,0.8,1.5,waterside and lifestyle-focused,Minimalist low-maintenance townhouse,Minimalist low-maintenance townhouse,"simplicity, easy upkeep, clean routines, low-friction living","simple, clean, ordered, peaceful",Very Strong,Strong,Very Strong,Strong,Low,Cosmetic,Moderate,Strong,High,Very Strong,Limited,Large backyard,Strong,Excellent,"Best suited to someone who sees home as a base for simplicity, easy upkeep, clean routines, low-friction living.","Mornings feel simple, clean, ordered, peaceful, supported by the suburb's waterside and lifestyle-focused rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a minimalist low-maintenance townhouse in Hurstville.,"Buyer should review strata, inspection reports, and comparable sales.","Property 15 is a house in Hurstville designed around the lifestyle archetype: Minimalist low-maintenance townhouse.
    It is listed at $1,498,499 and has been on the market for 85 days.
    The property supports simplicity, easy upkeep, clean routines, low-friction living. The emotional feel is simple, clean, ordered, peaceful.
    The local area feels waterside and lifestyle-focused, with an estimated CBD commute of 24 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 3 bathrooms, 1 parking spaces, and approximately 220 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.94% and a growth score of 60/100."
16,OCC-10016,Kellyville,NSW,Australia,1797861,89893,179786,359572,71914,House,5,2,1,564,287,2003,23,0,501,156,2026-03-11,67,new listing,very strong,1303,3.77,65,89,63,74,16,51,0.4,1.1,2.8,quiet and family-oriented,Creative lifestyle loft,Creative lifestyle loft,"creative work, flexible space, expressive living, urban inspiration","expressive, open, flexible, imaginative",Moderate,Strong,Moderate,Moderate,Moderate,Significant,Moderate,Moderate,Moderate,Strong,Moderate,Garden,Strong,Excellent,"Best suited to someone who sees home as a base for creative work, flexible space, expressive living, urban inspiration.","Mornings feel expressive, open, flexible, imaginative, supported by the suburb's quiet and family-oriented rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a creative lifestyle loft in Kellyville.,Buyer should compare price against recent local sales.,"Property 16 is a house in Kellyville designed around the lifestyle archetype: Creative lifestyle loft.
    It is listed at $1,797,861 and has been on the market for 67 days.
    The property supports creative work, flexible space, expressive living, urban inspiration. The emotional feel is expressive, open, flexible, imaginative.
    The local area feels quiet and family-oriented, with an estimated CBD commute of 51 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 287 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.77% and a growth score of 65/100."
17,OCC-10017,Alexandria,NSW,Australia,866576,43329,86658,173315,34663,Apartment,1,2,0,0,57,2019,7,1079,588,205,2026-02-18,88,longer campaign,strong,475,2.85,64,75,63,65,23,22,3.5,2.9,1.0,urban and connected,Young couple starter home,Young couple starter home,"first-home momentum, affordability balance, future planning","hopeful, practical, fresh, future-focused",Strong,Moderate,Low,Moderate,Moderate,None,High,Moderate,Moderate,Very Strong,Strong,Garden,Strong,Moderate,"Best suited to someone who sees home as a base for first-home momentum, affordability balance, future planning.","Mornings feel hopeful, practical, fresh, future-focused, supported by the suburb's urban and connected rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a young couple starter home in Alexandria.,"Buyer should review strata, inspection reports, and comparable sales.","Property 17 is a apartment in Alexandria designed around the lifestyle archetype: Young couple starter home.
    It is listed at $866,576 and has been on the market for 88 days.
    The property supports first-home momentum, affordability balance, future planning. The emotional feel is hopeful, practical, fresh, future-focused.
    The local area feels urban and connected, with an estimated CBD commute of 22 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 1 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 57 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 2.85% and a growth score of 64/100."
18,OCC-10018,Wentworth Point,NSW,Australia,926851,46343,92685,185370,37074,Townhouse,4,2,0,197,208,2006,20,929,625,267,2026-02-01,105,active,very strong,504,2.83,81,91,61,62,20,47,3.1,0.3,2.7,practical and high-growth,Downsizer comfort home,Downsizer comfort home,"comfort, accessibility, lower maintenance, calm lifestyle","comfortable, secure, easy, relaxed",Moderate,Very Strong,Strong,Very Strong,High,Significant,Moderate,Strong,High,Very Strong,Moderate,Courtyard,Moderate,Low,"Best suited to someone who sees home as a base for comfort, accessibility, lower maintenance, calm lifestyle.","Mornings feel comfortable, secure, easy, relaxed, supported by the suburb's practical and high-growth rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a downsizer comfort home in Wentworth Point.,Buyer should compare price against recent local sales.,"Property 18 is a townhouse in Wentworth Point designed around the lifestyle archetype: Downsizer comfort home.
    It is listed at $926,851 and has been on the market for 105 days.
    The property supports comfort, accessibility, lower maintenance, calm lifestyle. The emotional feel is comfortable, secure, easy, relaxed.
    The local area feels practical and high-growth, with an estimated CBD commute of 47 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 208 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 2.83% and a growth score of 81/100."
19,OCC-10019,Lane Cove,NSW,Australia,1035709,51785,103571,207142,41428,Villa,4,2,2,312,149,2022,4,422,343,211,2026-05-09,8,longer campaign,very strong,691,3.47,93,77,90,35,13,31,2.3,1.1,1.2,premium and aspirational,Social hosting-oriented home,Social hosting-oriented home,"entertaining, open living, connection, weekend gatherings","warm, open, lively, welcoming",Moderate,Very Strong,Very Strong,Very Strong,High,Significant,Moderate,Moderate,Low,Strong,Limited,Garden,Excellent,Moderate,"Best suited to someone who sees home as a base for entertaining, open living, connection, weekend gatherings.","Mornings feel warm, open, lively, welcoming, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a social hosting-oriented home in Lane Cove.,Buyer should compare price against recent local sales.,"Property 19 is a villa in Lane Cove designed around the lifestyle archetype: Social hosting-oriented home.
    It is listed at $1,035,709 and has been on the market for 8 days.
    The property supports entertaining, open living, connection, weekend gatherings. The emotional feel is warm, open, lively, welcoming.
    The local area feels premium and aspirational, with an estimated CBD commute of 31 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 149 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.47% and a growth score of 93/100."
20,OCC-10020,Campbelltown,NSW,Australia,1136945,56847,113694,227389,45478,Loft,3,2,1,0,135,2006,20,1135,547,220,2026-02-06,100,high enquiry,strong,713,3.26,62,94,66,47,25,49,1.4,0.8,0.7,premium and aspirational,Long-term wealth builder property,Long-term wealth builder property,"capital growth, rental appeal, infrastructure access, asset strategy","strategic, practical, resilient, future-minded",Low,Moderate,Strong,Moderate,Moderate,Cosmetic,Moderate,Moderate,High,Very Strong,Limited,Courtyard,Moderate,Low,"Best suited to someone who sees home as a base for capital growth, rental appeal, infrastructure access, asset strategy.","Mornings feel strategic, practical, resilient, future-minded, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a long-term wealth builder property in Campbelltown.,Buyer should compare price against recent local sales.,"Property 20 is a loft in Campbelltown designed around the lifestyle archetype: Long-term wealth builder property.
    It is listed at $1,136,945 and has been on the market for 100 days.
    The property supports capital growth, rental appeal, infrastructure access, asset strategy. The emotional feel is strategic, practical, resilient, future-minded.
    The local area feels premium and aspirational, with an estimated CBD commute of 49 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 135 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.26% and a growth score of 62/100."
21,OCC-10021,Sutherland,NSW,Australia,1488854,74443,148885,297771,59554,Townhouse,2,3,2,245,113,2005,21,830,377,188,2026-03-12,66,high enquiry,strong,848,2.96,86,64,91,75,8,23,1.4,2.6,0.6,quiet and family-oriented,Grounded family home,Grounded family home,"stable family routines, school proximity, calm weekends, long-term belonging","safe, warm, settled, protective",Low,Moderate,Low,Very Strong,Moderate,Cosmetic,High,Strong,Moderate,Strong,Moderate,Large backyard,Strong,Strong,"Best suited to someone who sees home as a base for stable family routines, school proximity, calm weekends, long-term belonging.","Mornings feel safe, warm, settled, protective, supported by the suburb's quiet and family-oriented rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a grounded family home in Sutherland.,"Buyer should review strata, inspection reports, and comparable sales.","Property 21 is a townhouse in Sutherland designed around the lifestyle archetype: Grounded family home.
    It is listed at $1,488,854 and has been on the market for 66 days.
    The property supports stable family routines, school proximity, calm weekends, long-term belonging. The emotional feel is safe, warm, settled, protective.
    The local area feels quiet and family-oriented, with an estimated CBD commute of 23 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 3 bathrooms, 2 parking spaces, and approximately 113 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 2.96% and a growth score of 86/100."
22,OCC-10022,Norwest,NSW,Australia,1019893,50995,101989,203979,40796,Apartment,2,2,1,0,81,2002,24,1526,532,168,2026-05-02,15,active,strong,830,4.23,73,62,69,53,8,55,0.6,0.1,1.9,creative and social,Urban professional apartment,Urban professional apartment,"career-focused living, transport access, convenience, modern routines","efficient, polished, connected, energising",Moderate,Strong,Low,Very Strong,Low,Cosmetic,Moderate,Moderate,Low,Moderate,Limited,Courtyard,Excellent,Strong,"Best suited to someone who sees home as a base for career-focused living, transport access, convenience, modern routines.","Mornings feel efficient, polished, connected, energising, supported by the suburb's creative and social rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a urban professional apartment in Norwest.,Buyer should consider maintenance costs and long-term suitability.,"Property 22 is a apartment in Norwest designed around the lifestyle archetype: Urban professional apartment.
    It is listed at $1,019,893 and has been on the market for 15 days.
    The property supports career-focused living, transport access, convenience, modern routines. The emotional feel is efficient, polished, connected, energising.
    The local area feels creative and social, with an estimated CBD commute of 55 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 81 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.23% and a growth score of 73/100."
23,OCC-10023,Chatswood,NSW,Australia,1098862,54943,109886,219772,43954,Villa,3,2,0,299,141,2023,3,474,595,160,2026-05-02,15,active,very strong,1080,5.11,91,97,56,83,16,67,1.7,0.8,0.5,creative and social,Nature-oriented retreat,Nature-oriented retreat,"peace, green space, slower mornings, emotional decompression","calm, restorative, private, grounded",Very Strong,Strong,Moderate,Very Strong,Moderate,Significant,Low,Strong,Moderate,Strong,Moderate,Courtyard,Excellent,Low,"Best suited to someone who sees home as a base for peace, green space, slower mornings, emotional decompression.","Mornings feel calm, restorative, private, grounded, supported by the suburb's creative and social rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a nature-oriented retreat in Chatswood.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 23 is a villa in Chatswood designed around the lifestyle archetype: Nature-oriented retreat.
    It is listed at $1,098,862 and has been on the market for 15 days.
    The property supports peace, green space, slower mornings, emotional decompression. The emotional feel is calm, restorative, private, grounded.
    The local area feels creative and social, with an estimated CBD commute of 67 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 141 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 5.11% and a growth score of 91/100."
24,OCC-10024,Baulkham Hills,NSW,Australia,1299536,64977,129954,259907,51981,Villa,3,1,1,193,174,2003,23,482,565,242,2026-05-01,16,high enquiry,very strong,1292,5.17,89,89,81,38,13,27,4.4,1.3,2.2,premium and aspirational,Luxury aspirational home,Luxury aspirational home,"status, comfort, privacy, premium lifestyle expression","elevated, spacious, impressive, refined",Very Strong,Moderate,Moderate,Strong,High,Cosmetic,Moderate,Strong,High,Strong,Limited,None,Excellent,Moderate,"Best suited to someone who sees home as a base for status, comfort, privacy, premium lifestyle expression.","Mornings feel elevated, spacious, impressive, refined, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a luxury aspirational home in Baulkham Hills.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 24 is a villa in Baulkham Hills designed around the lifestyle archetype: Luxury aspirational home.
    It is listed at $1,299,536 and has been on the market for 16 days.
    The property supports status, comfort, privacy, premium lifestyle expression. The emotional feel is elevated, spacious, impressive, refined.
    The local area feels premium and aspirational, with an estimated CBD commute of 27 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 1 bathrooms, 1 parking spaces, and approximately 174 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 5.17% and a growth score of 89/100."
25,OCC-10025,Zetland,NSW,Australia,764338,38217,76434,152868,30574,Loft,2,1,0,0,145,2009,17,930,533,187,2026-01-25,112,longer campaign,moderate,591,4.02,72,86,85,65,6,61,3.8,1.5,2.9,premium and aspirational,Minimalist low-maintenance townhouse,Minimalist low-maintenance townhouse,"simplicity, easy upkeep, clean routines, low-friction living","simple, clean, ordered, peaceful",Moderate,Moderate,Strong,Strong,Moderate,Moderate,Low,Strong,High,Strong,Strong,Large backyard,Excellent,Excellent,"Best suited to someone who sees home as a base for simplicity, easy upkeep, clean routines, low-friction living.","Mornings feel simple, clean, ordered, peaceful, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a minimalist low-maintenance townhouse in Zetland.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 25 is a loft in Zetland designed around the lifestyle archetype: Minimalist low-maintenance townhouse.
    It is listed at $764,338 and has been on the market for 112 days.
    The property supports simplicity, easy upkeep, clean routines, low-friction living. The emotional feel is simple, clean, ordered, peaceful.
    The local area feels premium and aspirational, with an estimated CBD commute of 61 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 1 bathrooms, 0 parking spaces, and approximately 145 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.02% and a growth score of 72/100."
26,OCC-10026,Hurstville,NSW,Australia,1257868,62893,125787,251574,50315,Loft,2,2,1,0,119,2017,9,1166,553,159,2026-04-01,46,active,strong,861,3.56,85,84,79,77,10,56,1.9,2.6,1.8,green and peaceful,Creative lifestyle loft,Creative lifestyle loft,"creative work, flexible space, expressive living, urban inspiration","expressive, open, flexible, imaginative",Low,Strong,Low,Very Strong,Moderate,None,High,Moderate,Moderate,Very Strong,Limited,None,Strong,Strong,"Best suited to someone who sees home as a base for creative work, flexible space, expressive living, urban inspiration.","Mornings feel expressive, open, flexible, imaginative, supported by the suburb's green and peaceful rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a creative lifestyle loft in Hurstville.,Buyer should compare price against recent local sales.,"Property 26 is a loft in Hurstville designed around the lifestyle archetype: Creative lifestyle loft.
    It is listed at $1,257,868 and has been on the market for 46 days.
    The property supports creative work, flexible space, expressive living, urban inspiration. The emotional feel is expressive, open, flexible, imaginative.
    The local area feels green and peaceful, with an estimated CBD commute of 56 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 119 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.56% and a growth score of 85/100."
27,OCC-10027,Norwest,NSW,Australia,864216,43211,86422,172843,34569,Villa,4,2,2,338,132,2022,4,738,527,192,2026-04-02,45,price adjusted,low,580,3.49,69,65,82,41,20,22,2.9,0.8,2.8,urban and connected,Young couple starter home,Young couple starter home,"first-home momentum, affordability balance, future planning","hopeful, practical, fresh, future-focused",Low,Strong,Low,Strong,Moderate,Moderate,Moderate,Moderate,Low,Very Strong,Moderate,Large backyard,Excellent,Moderate,"Best suited to someone who sees home as a base for first-home momentum, affordability balance, future planning.","Mornings feel hopeful, practical, fresh, future-focused, supported by the suburb's urban and connected rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a young couple starter home in Norwest.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 27 is a villa in Norwest designed around the lifestyle archetype: Young couple starter home.
    It is listed at $864,216 and has been on the market for 45 days.
    The property supports first-home momentum, affordability balance, future planning. The emotional feel is hopeful, practical, fresh, future-focused.
    The local area feels urban and connected, with an estimated CBD commute of 22 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 132 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.49% and a growth score of 69/100."
28,OCC-10028,Blacktown,NSW,Australia,939549,46977,93955,187910,37582,Apartment,2,2,1,0,103,2002,24,1784,476,226,2026-02-27,79,longer campaign,strong,855,4.73,73,94,65,39,17,60,1.4,0.8,0.2,transport-rich and convenient,Downsizer comfort home,Downsizer comfort home,"comfort, accessibility, lower maintenance, calm lifestyle","comfortable, secure, easy, relaxed",Very Strong,Strong,Moderate,Strong,Moderate,None,Low,Strong,High,Strong,Strong,Courtyard,Excellent,Strong,"Best suited to someone who sees home as a base for comfort, accessibility, lower maintenance, calm lifestyle.","Mornings feel comfortable, secure, easy, relaxed, supported by the suburb's transport-rich and convenient rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a downsizer comfort home in Blacktown.,"Buyer should review strata, inspection reports, and comparable sales.","Property 28 is a apartment in Blacktown designed around the lifestyle archetype: Downsizer comfort home.
    It is listed at $939,549 and has been on the market for 79 days.
    The property supports comfort, accessibility, lower maintenance, calm lifestyle. The emotional feel is comfortable, secure, easy, relaxed.
    The local area feels transport-rich and convenient, with an estimated CBD commute of 60 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 103 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.73% and a growth score of 73/100."
29,OCC-10029,Alexandria,NSW,Australia,1067813,53391,106781,213563,42713,Villa,4,1,2,122,162,2021,5,716,621,160,2026-02-24,82,price adjusted,very strong,889,4.33,94,76,63,75,12,69,3.7,1.9,1.5,urban and connected,Social hosting-oriented home,Social hosting-oriented home,"entertaining, open living, connection, weekend gatherings","warm, open, lively, welcoming",Low,Very Strong,Strong,Very Strong,Low,None,Moderate,Strong,High,Strong,Limited,Balcony,Moderate,Strong,"Best suited to someone who sees home as a base for entertaining, open living, connection, weekend gatherings.","Mornings feel warm, open, lively, welcoming, supported by the suburb's urban and connected rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a social hosting-oriented home in Alexandria.,Buyer should compare price against recent local sales.,"Property 29 is a villa in Alexandria designed around the lifestyle archetype: Social hosting-oriented home.
    It is listed at $1,067,813 and has been on the market for 82 days.
    The property supports entertaining, open living, connection, weekend gatherings. The emotional feel is warm, open, lively, welcoming.
    The local area feels urban and connected, with an estimated CBD commute of 69 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 1 bathrooms, 2 parking spaces, and approximately 162 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.33% and a growth score of 94/100."
30,OCC-10030,Alexandria,NSW,Australia,1089452,54473,108945,217890,43578,Townhouse,3,3,0,243,203,1999,27,467,307,217,2026-03-14,64,high enquiry,low,1012,4.83,90,83,60,85,10,75,3.1,2.1,1.7,waterside and lifestyle-focused,Long-term wealth builder property,Long-term wealth builder property,"capital growth, rental appeal, infrastructure access, asset strategy","strategic, practical, resilient, future-minded",Very Strong,Strong,Strong,Very Strong,Moderate,Moderate,Low,Excellent,Low,Strong,Limited,Large backyard,Excellent,Strong,"Best suited to someone who sees home as a base for capital growth, rental appeal, infrastructure access, asset strategy.","Mornings feel strategic, practical, resilient, future-minded, supported by the suburb's waterside and lifestyle-focused rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a long-term wealth builder property in Alexandria.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 30 is a townhouse in Alexandria designed around the lifestyle archetype: Long-term wealth builder property.
    It is listed at $1,089,452 and has been on the market for 64 days.
    The property supports capital growth, rental appeal, infrastructure access, asset strategy. The emotional feel is strategic, practical, resilient, future-minded.
    The local area feels waterside and lifestyle-focused, with an estimated CBD commute of 75 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 3 bathrooms, 0 parking spaces, and approximately 203 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.83% and a growth score of 90/100."
